consumer_id,pmt_id,feeder_id,sanctioned_load_kw,consumer_type,meter_type,is_registered_prosumer
C-000091,PMT-0131,F-14,3.24,residential,analog,False
C-000092,PMT-0242,F-25,5.46,residential,analog,False
C-000093,PMT-0253,F-26,2.49,residential,analog,False
C-000094,PMT-0117,F-12,6.57,residential,analog,False
C-000095,PMT-0270,F-27,65.89,industrial,electronic,False
C-000096,PMT-0087,F-09,7.7,residential,electronic,False
C-000097,PMT-0072,F-08,5.98,residential,analog,False
C-000098,PMT-0205,F-21,5.25,residential,analog,True
C-000099,PMT-0192,F-20,21.58,commercial,analog,False
C-000100,PMT-0042,F-05,9.39,commercial,electronic,False
C-000101,PMT-0250,F-25,5.43,residential,analog,False
C-000102,PMT-0060,F-06,3.73,residential,analog,False
C-000103,PMT-0242,F-25,6.21,residential,analog,False
C-000104,PMT-0003,F-01,1.17,residential,analog,False
C-000105,PMT-0240,F-24,13.55,commercial,analog,False
C-000106,PMT-0237,F-24,5.56,residential,electronic,False
C-000107,PMT-0235,F-24,4.22,residential,electronic,False
C-000108,PMT-0200,F-20,2.67,residential,electronic,False
C-000109,PMT-0142,F-15,4.25,residential,analog,False
C-000110,PMT-0212,F-22,21.99,commercial,analog,False
C-000111,PMT-0084,F-09,2.45,residential,electronic,False
C-000112,PMT-0235,F-24,3.57,residential,analog,True
C-000113,PMT-0167,F-17,7.93,residential,analog,True
C-000114,PMT-0138,F-14,23.26,commercial,electronic,False
C-000115,PMT-0152,F-16,1.24,residential,analog,False
C-000116,PMT-0171,F-18,15.61,commercial,analog,False
C-000117,PMT-0012,F-02,1.46,residential,analog,False
C-000118,PMT-0042,F-05,7.47,residential,analog,False
C-000119,PMT-0074,F-08,4.09,residential,analog,False
C-000120,PMT-0035,F-04,3.93,residential,analog,False
C-000121,PMT-0132,F-14,2.91,residential,analog,False
C-000122,PMT-0201,F-21,4.98,residential,electronic,False
C-000123,PMT-0197,F-20,2.01,residential,electronic,False
C-000124,PMT-0142,F-15,6.59,residential,electronic,False
C-000125,PMT-0257,F-26,4.44,residential,electronic,False
C-000126,PMT-0170,F-17,4.97,residential,analog,False
C-000127,PMT-0024,F-03,6.89,residential,analog,False
C-000128,PMT-0230,F-23,2.3,residential,analog,True
C-000129,PMT-0173,F-18,8.5,commercial,analog,False
C-000130,PMT-0191,F-20,53.66,industrial,electronic,False
C-000131,PMT-0170,F-17,6.5,residential,analog,False
C-000132,PMT-0167,F-17,1.41,residential,electronic,False
C-000133,PMT-0028,F-03,6.57,residential,analog,False
C-000134,PMT-0168,F-17,4.51,residential,analog,False
C-000135,PMT-0239,F-24,16.24,commercial,electronic,True
C-000136,PMT-0092,F-10,4.95,residential,analog,False
C-000137,PMT-0181,F-19,1.39,residential,electronic,False
C-000138,PMT-0010,F-01,2.75,residential,electronic,True
C-000139,PMT-0105,F-11,6.29,residential,electronic,False
C-000140,PMT-0132,F-14,13.25,commercial,electronic,False
C-000141,PMT-0295,F-30,4.92,residential,analog,False
C-000142,PMT-0065,F-07,7.61,residential,analog,False
C-000143,PMT-0083,F-09,1.32,residential,electronic,False
C-000144,PMT-0123,F-13,13.99,commercial,analog,False
C-000145,PMT-0298,F-30,3.53,residential,analog,True
C-000146,PMT-0257,F-26,7.13,commercial,analog,False
C-000147,PMT-0011,F-02,24.02,commercial,analog,False
C-000148,PMT-0071,F-08,7.73,residential,analog,False
C-000149,PMT-0247,F-25,11.23,commercial,electronic,False
C-000150,PMT-0018,F-02,7.63,residential,analog,False
C-000151,PMT-0257,F-26,1.25,residential,analog,False
C-000152,PMT-0085,F-09,7.87,residential,analog,False
C-000153,PMT-0276,F-28,6.85,residential,analog,False
C-000154,PMT-0089,F-09,2.5,residential,analog,False
C-000155,PMT-0131,F-14,5.2,residential,electronic,False
C-000156,PMT-0199,F-20,6.59,residential,analog,False
C-000157,PMT-0038,F-04,3.24,residential,analog,False
C-000158,PMT-0168,F-17,3.48,residential,analog,False
C-000159,PMT-0152,F-16,5.4,residential,analog,False
C-000160,PMT-0236,F-24,2.03,residential,electronic,False
C-000161,PMT-0299,F-30,29.46,industrial,electronic,False
C-000162,PMT-0200,F-20,10.0,commercial,electronic,False
C-000163,PMT-0123,F-13,6.19,residential,electronic,True
C-000164,PMT-0122,F-13,3.57,residential,analog,False
C-000165,PMT-0126,F-13,4.55,residential,electronic,False
C-000166,PMT-0245,F-25,2.37,residential,analog,False
C-000167,PMT-0097,F-10,2.36,residential,electronic,False
C-000168,PMT-0051,F-06,5.55,residential,analog,False
C-000169,PMT-0101,F-11,1.76,residential,analog,False
C-000170,PMT-0007,F-01,5.67,residential,analog,False
C-000171,PMT-0032,F-04,3.8,residential,analog,False
C-000172,PMT-0028,F-03,5.7,residential,analog,False
C-000173,PMT-0232,F-24,12.63,commercial,analog,True
C-000174,PMT-0217,F-22,6.92,residential,electronic,False
C-000175,PMT-0210,F-21,1.39,residential,analog,False
C-000176,PMT-0139,F-14,7.25,residential,analog,False
C-000177,PMT-0216,F-22,2.88,residential,analog,False
C-000178,PMT-0049,F-05,1.3,residential,analog,True
C-000179,PMT-0271,F-28,4.94,residential,analog,False
C-000180,PMT-0151,F-16,2.57,residential,analog,False
C-000181,PMT-0282,F-29,4.21,residential,analog,False
C-000182,PMT-0046,F-05,6.62,residential,analog,False
C-000183,PMT-0150,F-15,6.54,residential,analog,False
C-000184,PMT-0209,F-21,5.2,residential,analog,False
C-000185,PMT-0149,F-15,7.85,residential,electronic,False
C-000186,PMT-0134,F-14,14.28,commercial,electronic,False
C-000187,PMT-0050,F-05,1.28,residential,analog,False
C-000188,PMT-0115,F-12,6.74,residential,analog,False
C-000189,PMT-0072,F-08,9.43,commercial,electronic,False
C-000190,PMT-0091,F-10,2.23,residential,analog,False
C-000191,PMT-0206,F-21,1.49,residential,analog,False
C-000192,PMT-0190,F-19,3.3,residential,analog,False
C-000193,PMT-0183,F-19,3.28,residential,analog,False
C-000194,PMT-0109,F-11,3.12,residential,electronic,True
C-000195,PMT-0288,F-29,16.86,commercial,electronic,False
C-000196,PMT-0027,F-03,80.12,industrial,analog,False
C-000197,PMT-0103,F-11,7.56,residential,analog,False
C-000198,PMT-0036,F-04,1.66,residential,electronic,False
C-000199,PMT-0102,F-11,2.05,residential,analog,False
C-000200,PMT-0289,F-29,5.13,residential,analog,False
C-000201,PMT-0110,F-11,1.69,residential,analog,False
C-000202,PMT-0273,F-28,3.6,residential,electronic,False
C-000203,PMT-0149,F-15,5.37,residential,electronic,False
C-000204,PMT-0210,F-21,6.46,residential,analog,False
C-000205,PMT-0138,F-14,2.52,residential,electronic,False
C-000206,PMT-0080,F-08,5.68,residential,analog,False
C-000207,PMT-0230,F-23,5.52,residential,analog,False
C-000208,PMT-0291,F-30,22.19,commercial,electronic,False
C-000209,PMT-0080,F-08,3.2,residential,electronic,False
C-000210,PMT-0234,F-24,6.25,residential,analog,False
C-000211,PMT-0079,F-08,6.26,residential,analog,False
C-000212,PMT-0216,F-22,2.67,residential,electronic,True
C-000213,PMT-0237,F-24,69.69,industrial,analog,False
C-000214,PMT-0135,F-14,18.5,commercial,analog,False
C-000215,PMT-0222,F-23,2.92,residential,analog,False
C-000216,PMT-0082,F-09,4.16,residential,analog,False
C-000217,PMT-0024,F-03,4.05,residential,analog,True
C-000218,PMT-0029,F-03,6.41,residential,analog,False
C-000219,PMT-0135,F-14,1.0,residential,analog,False
C-000220,PMT-0271,F-28,4.51,residential,analog,False
C-000221,PMT-0039,F-04,2.29,residential,analog,False
C-000222,PMT-0137,F-14,5.53,residential,analog,False
C-000223,PMT-0212,F-22,5.76,residential,analog,True
C-000224,PMT-0061,F-07,4.51,residential,analog,False
C-000225,PMT-0217,F-22,4.79,residential,electronic,False
C-000226,PMT-0092,F-10,3.21,residential,electronic,False
C-000227,PMT-0243,F-25,3.19,residential,analog,False
C-000228,PMT-0174,F-18,6.22,residential,electronic,False
C-000229,PMT-0165,F-17,1.92,residential,electronic,False
C-000230,PMT-0054,F-06,6.4,residential,analog,False
C-000231,PMT-0139,F-14,18.1,commercial,electronic,False
C-000232,PMT-0257,F-26,22.69,commercial,analog,False
C-000233,PMT-0006,F-01,2.82,residential,analog,False
C-000234,PMT-0228,F-23,4.54,residential,analog,False
C-000235,PMT-0148,F-15,1.27,residential,analog,False
C-000236,PMT-0216,F-22,7.39,residential,electronic,True
C-000237,PMT-0199,F-20,5.73,residential,electronic,False
C-000238,PMT-0130,F-13,5.36,residential,analog,False
C-000239,PMT-0093,F-10,6.13,residential,analog,True
C-000240,PMT-0189,F-19,2.99,residential,electronic,False
C-000241,PMT-0043,F-05,5.23,residential,electronic,False
C-000242,PMT-0176,F-18,6.61,residential,analog,False
C-000243,PMT-0029,F-03,1.63,residential,analog,False
C-000244,PMT-0195,F-20,7.71,residential,analog,False
C-000245,PMT-0189,F-19,7.24,residential,analog,False
C-000246,PMT-0026,F-03,7.74,residential,electronic,False
C-000247,PMT-0228,F-23,6.66,residential,electronic,False
C-000248,PMT-0125,F-13,3.06,residential,electronic,False
C-000249,PMT-0237,F-24,5.07,residential,analog,False
C-000250,PMT-0013,F-02,7.4,commercial,electronic,True
C-000251,PMT-0054,F-06,6.28,residential,electronic,False
C-000252,PMT-0149,F-15,2.08,residential,electronic,False
C-000253,PMT-0057,F-06,7.07,residential,electronic,False
C-000254,PMT-0099,F-10,9.81,commercial,analog,False
C-000255,PMT-0199,F-20,2.12,residential,analog,False
C-000256,PMT-0044,F-05,6.42,commercial,analog,False
C-000257,PMT-0204,F-21,5.98,residential,analog,False
C-000258,PMT-0032,F-04,2.3,residential,analog,False
C-000259,PMT-0053,F-06,2.38,residential,electronic,False
C-000260,PMT-0177,F-18,2.19,residential,analog,False
C-000261,PMT-0239,F-24,3.14,residential,analog,False
C-000262,PMT-0052,F-06,7.59,residential,analog,False
C-000263,PMT-0090,F-09,4.41,residential,electronic,False
C-000264,PMT-0278,F-28,10.22,commercial,electronic,False
C-000265,PMT-0297,F-30,2.19,residential,analog,False
C-000266,PMT-0175,F-18,1.13,residential,electronic,False
C-000267,PMT-0135,F-14,3.55,residential,electronic,False
C-000268,PMT-0105,F-11,7.2,commercial,electronic,False
C-000269,PMT-0184,F-19,5.54,commercial,electronic,False
C-000270,PMT-0178,F-18,1.72,residential,analog,False
C-000271,PMT-0089,F-09,45.48,industrial,electronic,False
C-000272,PMT-0007,F-01,20.02,commercial,analog,False
C-000273,PMT-0046,F-05,6.34,commercial,electronic,True
C-000274,PMT-0288,F-29,18.57,commercial,analog,False
C-000275,PMT-0126,F-13,5.34,residential,analog,False
C-000276,PMT-0145,F-15,7.17,residential,electronic,True
C-000277,PMT-0141,F-15,2.29,residential,electronic,False
C-000278,PMT-0235,F-24,6.56,residential,electronic,False
C-000279,PMT-0020,F-02,7.05,residential,electronic,False
C-000280,PMT-0025,F-03,7.84,residential,electronic,True
C-000281,PMT-0083,F-09,84.68,industrial,analog,False
C-000282,PMT-0146,F-15,1.87,residential,electronic,False
C-000283,PMT-0202,F-21,95.77,industrial,analog,False
C-000284,PMT-0148,F-15,6.7,residential,analog,False
C-000285,PMT-0133,F-14,2.49,residential,analog,False
C-000286,PMT-0282,F-29,2.16,residential,analog,False
C-000287,PMT-0049,F-05,7.55,residential,electronic,False
C-000288,PMT-0172,F-18,2.09,residential,electronic,False
C-000289,PMT-0163,F-17,6.44,residential,analog,False
C-000290,PMT-0143,F-15,3.84,residential,electronic,False
C-000291,PMT-0243,F-25,6.07,residential,analog,False
C-000292,PMT-0081,F-09,1.64,residential,electronic,True
C-000293,PMT-0287,F-29,19.5,commercial,analog,False
C-000294,PMT-0100,F-10,4.58,residential,analog,False
C-000295,PMT-0164,F-17,7.3,residential,electronic,False
C-000296,PMT-0157,F-16,2.32,residential,analog,False
C-000297,PMT-0255,F-26,28.75,industrial,analog,False
C-000298,PMT-0132,F-14,2.37,residential,analog,False
C-000299,PMT-0086,F-09,1.55,residential,analog,False
C-000300,PMT-0007,F-01,7.86,residential,analog,False
C-000301,PMT-0110,F-11,1.86,residential,analog,False
C-000302,PMT-0248,F-25,2.41,residential,analog,True
C-000303,PMT-0003,F-01,6.67,residential,electronic,False
C-000304,PMT-0269,F-27,2.73,residential,analog,False
C-000305,PMT-0163,F-17,2.56,residential,analog,False
C-000306,PMT-0043,F-05,5.71,residential,electronic,False
C-000307,PMT-0091,F-10,51.9,industrial,electronic,False
C-000308,PMT-0167,F-17,6.85,residential,electronic,False
C-000309,PMT-0095,F-10,5.47,residential,electronic,False
C-000310,PMT-0033,F-04,3.02,residential,electronic,True
C-000311,PMT-0200,F-20,5.19,residential,electronic,False
C-000312,PMT-0202,F-21,7.07,residential,analog,False
C-000313,PMT-0036,F-04,3.55,residential,analog,True
C-000314,PMT-0085,F-09,6.16,residential,analog,False
C-000315,PMT-0074,F-08,3.91,residential,analog,False
C-000316,PMT-0198,F-20,4.8,residential,analog,False
C-000317,PMT-0220,F-22,6.14,residential,analog,False
C-000318,PMT-0219,F-22,6.21,commercial,analog,False
C-000319,PMT-0282,F-29,4.18,residential,electronic,False
C-000320,PMT-0231,F-24,1.67,residential,analog,False
C-000321,PMT-0097,F-10,6.08,residential,electronic,False
C-000322,PMT-0033,F-04,5.25,residential,electronic,True
C-000323,PMT-0185,F-19,11.54,commercial,electronic,False
C-000324,PMT-0275,F-28,1.53,residential,analog,False
C-000325,PMT-0293,F-30,7.48,residential,electronic,False
C-000326,PMT-0070,F-07,3.21,residential,electronic,False
C-000327,PMT-0071,F-08,2.93,residential,analog,False
C-000328,PMT-0012,F-02,7.02,commercial,analog,False
C-000329,PMT-0043,F-05,5.04,residential,analog,False
C-000330,PMT-0167,F-17,2.86,residential,electronic,False
C-000331,PMT-0165,F-17,6.9,residential,electronic,False
C-000332,PMT-0112,F-12,5.78,residential,analog,False
C-000333,PMT-0093,F-10,1.03,residential,electronic,False
C-000334,PMT-0249,F-25,4.96,residential,analog,False
C-000335,PMT-0139,F-14,2.62,residential,electronic,False
C-000336,PMT-0243,F-25,1.11,residential,electronic,False
C-000337,PMT-0289,F-29,5.34,residential,analog,False
C-000338,PMT-0096,F-10,2.43,residential,electronic,False
C-000339,PMT-0061,F-07,22.99,commercial,electronic,False
C-000340,PMT-0286,F-29,5.01,residential,analog,False
C-000341,PMT-0191,F-20,2.46,residential,electronic,False
C-000342,PMT-0088,F-09,7.85,residential,analog,True
C-000343,PMT-0187,F-19,15.93,commercial,analog,False
C-000344,PMT-0155,F-16,2.16,residential,analog,False
C-000345,PMT-0272,F-28,4.62,residential,analog,False
C-000346,PMT-0077,F-08,7.72,residential,analog,True
C-000347,PMT-0298,F-30,3.97,residential,analog,False
C-000348,PMT-0281,F-29,3.98,residential,electronic,False
C-000349,PMT-0055,F-06,4.23,residential,analog,False
C-000350,PMT-0050,F-05,2.96,residential,electronic,False
C-000351,PMT-0160,F-16,8.24,commercial,analog,True
C-000352,PMT-0014,F-02,5.05,residential,analog,False
C-000353,PMT-0090,F-09,7.26,residential,electronic,False
C-000354,PMT-0131,F-14,6.15,residential,analog,False
C-000355,PMT-0291,F-30,6.92,commercial,analog,False
C-000356,PMT-0298,F-30,13.02,commercial,electronic,False
C-000357,PMT-0046,F-05,1.04,residential,analog,False
C-000358,PMT-0268,F-27,3.16,residential,analog,False
C-000359,PMT-0028,F-03,5.69,residential,analog,False
C-000360,PMT-0225,F-23,10.8,commercial,analog,False
C-000361,PMT-0254,F-26,6.88,residential,electronic,False
C-000362,PMT-0268,F-27,4.34,residential,analog,False
C-000363,PMT-0068,F-07,5.68,residential,analog,True
C-000364,PMT-0269,F-27,22.68,commercial,analog,False
C-000365,PMT-0035,F-04,18.66,commercial,analog,False
C-000366,PMT-0156,F-16,91.79,industrial,analog,False
C-000367,PMT-0141,F-15,6.66,residential,electronic,False
C-000368,PMT-0095,F-10,4.97,residential,electronic,False
C-000369,PMT-0007,F-01,10.94,commercial,analog,False
C-000370,PMT-0232,F-24,3.09,residential,electronic,False
C-000371,PMT-0101,F-11,7.13,residential,electronic,False
C-000372,PMT-0199,F-20,24.31,industrial,analog,False
C-000373,PMT-0124,F-13,7.59,residential,analog,True
C-000374,PMT-0113,F-12,3.29,residential,analog,False
C-000375,PMT-0266,F-27,6.17,residential,analog,False
C-000376,PMT-0029,F-03,3.31,residential,analog,True
C-000377,PMT-0221,F-23,7.67,residential,analog,False
C-000378,PMT-0225,F-23,1.26,residential,electronic,False
C-000379,PMT-0114,F-12,3.47,residential,analog,False
C-000380,PMT-0079,F-08,22.35,commercial,analog,False
C-000381,PMT-0002,F-01,2.92,residential,electronic,False
C-000382,PMT-0282,F-29,2.93,residential,analog,False
C-000383,PMT-0285,F-29,7.29,residential,analog,False
C-000384,PMT-0073,F-08,6.81,residential,analog,False
C-000385,PMT-0010,F-01,1.74,residential,electronic,True
C-000386,PMT-0037,F-04,5.06,residential,analog,False
C-000387,PMT-0021,F-03,2.56,residential,analog,False
C-000388,PMT-0250,F-25,2.51,residential,electronic,False
C-000389,PMT-0268,F-27,5.31,residential,electronic,False
C-000390,PMT-0046,F-05,7.48,commercial,electronic,False
C-000391,PMT-0225,F-23,4.29,residential,electronic,False
C-000392,PMT-0054,F-06,2.79,residential,electronic,False
C-000393,PMT-0111,F-12,88.31,industrial,analog,False
C-000394,PMT-0180,F-18,4.88,residential,analog,False
C-000395,PMT-0216,F-22,2.51,residential,analog,False
C-000396,PMT-0263,F-27,7.49,residential,analog,False
C-000397,PMT-0014,F-02,6.76,residential,analog,False
C-000398,PMT-0059,F-06,2.86,residential,analog,False
C-000399,PMT-0085,F-09,7.73,residential,analog,False
C-000400,PMT-0094,F-10,2.87,residential,analog,False
C-000401,PMT-0300,F-30,3.05,residential,analog,False
C-000402,PMT-0234,F-24,3.7,residential,electronic,False
C-000403,PMT-0097,F-10,2.15,residential,analog,False
C-000404,PMT-0292,F-30,5.81,residential,electronic,False
C-000405,PMT-0150,F-15,4.9,residential,analog,False
C-000406,PMT-0151,F-16,7.26,residential,analog,False
C-000407,PMT-0131,F-14,2.69,residential,electronic,False
C-000408,PMT-0044,F-05,2.19,residential,electronic,False
C-000409,PMT-0281,F-29,3.51,residential,electronic,False
C-000410,PMT-0005,F-01,7.92,commercial,electronic,False
C-000411,PMT-0053,F-06,7.62,residential,analog,False
C-000412,PMT-0069,F-07,6.02,residential,electronic,False
C-000413,PMT-0084,F-09,6.57,residential,electronic,False
C-000414,PMT-0040,F-04,6.24,residential,electronic,False
C-000415,PMT-0006,F-01,2.7,residential,electronic,False
C-000416,PMT-0204,F-21,1.98,residential,electronic,True
C-000417,PMT-0291,F-30,4.01,residential,analog,False
C-000418,PMT-0037,F-04,86.32,industrial,analog,False
C-000419,PMT-0089,F-09,3.31,residential,analog,True
C-000420,PMT-0152,F-16,1.07,residential,electronic,False
C-000421,PMT-0279,F-28,5.62,residential,analog,False
C-000422,PMT-0209,F-21,2.4,residential,electronic,False
C-000423,PMT-0230,F-23,4.8,residential,analog,False
C-000424,PMT-0175,F-18,1.1,residential,analog,False
C-000425,PMT-0126,F-13,15.18,commercial,analog,False
C-000426,PMT-0060,F-06,3.76,residential,analog,False
C-000427,PMT-0260,F-26,90.43,industrial,analog,False
C-000428,PMT-0242,F-25,19.44,commercial,analog,False
C-000429,PMT-0008,F-01,5.72,commercial,analog,False
C-000430,PMT-0215,F-22,6.53,residential,analog,False
C-000431,PMT-0026,F-03,6.54,residential,analog,False
C-000432,PMT-0222,F-23,5.64,residential,analog,True
C-000433,PMT-0248,F-25,7.51,residential,analog,False
C-000434,PMT-0040,F-04,6.62,residential,electronic,False
C-000435,PMT-0131,F-14,2.53,residential,electronic,False
C-000436,PMT-0038,F-04,3.67,residential,electronic,False
C-000437,PMT-0171,F-18,12.0,commercial,analog,False
C-000438,PMT-0279,F-28,4.53,residential,analog,False
C-000439,PMT-0025,F-03,24.07,commercial,analog,False
C-000440,PMT-0120,F-12,5.31,residential,analog,False
C-000441,PMT-0292,F-30,3.19,residential,analog,False
C-000442,PMT-0091,F-10,23.83,commercial,analog,False
C-000443,PMT-0040,F-04,19.01,commercial,analog,False
C-000444,PMT-0147,F-15,2.86,residential,analog,False
C-000445,PMT-0153,F-16,92.52,industrial,analog,False
C-000446,PMT-0199,F-20,3.41,residential,analog,False
C-000447,PMT-0095,F-10,15.32,commercial,electronic,False
C-000448,PMT-0287,F-29,4.35,residential,analog,False
C-000449,PMT-0157,F-16,7.47,residential,analog,False
C-000450,PMT-0086,F-09,2.86,residential,analog,False
C-000451,PMT-0289,F-29,3.33,residential,analog,False
C-000452,PMT-0278,F-28,5.62,residential,analog,False
C-000453,PMT-0150,F-15,7.21,residential,analog,False
C-000454,PMT-0008,F-01,1.8,residential,analog,False
C-000455,PMT-0180,F-18,9.2,commercial,analog,False
C-000456,PMT-0167,F-17,7.64,residential,electronic,False
C-000457,PMT-0045,F-05,6.44,residential,electronic,False
C-000458,PMT-0191,F-20,3.42,residential,analog,False
C-000459,PMT-0253,F-26,3.5,residential,analog,False
C-000460,PMT-0032,F-04,4.29,residential,electronic,False
C-000461,PMT-0217,F-22,5.72,residential,analog,False
C-000462,PMT-0043,F-05,4.93,residential,electronic,False
C-000463,PMT-0225,F-23,6.43,residential,analog,True
C-000464,PMT-0126,F-13,1.38,residential,electronic,False
C-000465,PMT-0002,F-01,6.73,residential,analog,False
C-000466,PMT-0290,F-29,6.16,commercial,analog,False
C-000467,PMT-0050,F-05,7.17,residential,electronic,False
C-000468,PMT-0179,F-18,1.3,residential,electronic,False
C-000469,PMT-0055,F-06,1.89,residential,analog,False
C-000470,PMT-0280,F-28,2.26,residential,electronic,False
C-000471,PMT-0222,F-23,2.56,residential,electronic,False
C-000472,PMT-0242,F-25,3.81,residential,analog,False
C-000473,PMT-0130,F-13,18.11,commercial,analog,False
C-000474,PMT-0141,F-15,7.25,residential,analog,False
C-000475,PMT-0191,F-20,4.67,residential,electronic,True
C-000476,PMT-0236,F-24,4.73,residential,analog,False
C-000477,PMT-0255,F-26,3.24,residential,analog,False
C-000478,PMT-0006,F-01,6.6,residential,analog,False
C-000479,PMT-0200,F-20,1.77,residential,analog,False
C-000480,PMT-0033,F-04,44.09,industrial,analog,False
C-000481,PMT-0087,F-09,1.68,residential,analog,True
C-000482,PMT-0249,F-25,2.5,residential,analog,False
C-000483,PMT-0076,F-08,5.11,residential,analog,False
C-000484,PMT-0240,F-24,1.88,residential,analog,False
C-000485,PMT-0139,F-14,7.01,commercial,analog,False
C-000486,PMT-0070,F-07,21.52,commercial,analog,False
