consumer_id,month,billed_units_kwh,arrears_pkr,reader_id,is_theft_ground_truth,theft_type
C-000034,2022-01-01,103.75,1076.61,R-055,False,none
C-000035,2022-01-01,345.76,1349.94,R-102,False,none
C-000036,2022-01-01,265.68,1015.02,R-011,False,none
C-000037,2022-01-01,5.84,2667.98,R-140,False,none
C-000038,2022-01-01,283.7,80.84,R-118,False,none
C-000039,2022-01-01,337.81,1557.18,R-125,False,none
C-000040,2022-01-01,312.96,1905.82,R-114,False,none
C-000041,2022-01-01,57.7,3549.36,R-153,False,none
C-000042,2022-01-01,1281.11,435.1,R-144,False,none
C-000043,2022-01-01,184.53,1237.96,R-146,False,none
C-000044,2022-01-01,455.75,25.25,R-047,False,none
C-000045,2022-01-01,329.45,1745.93,R-152,False,none
C-000046,2022-01-01,267.15,1443.36,R-040,True,kunda
C-000047,2022-01-01,143.14,3075.84,R-005,True,nighttime_ac
C-000048,2022-01-01,78.5,53.68,R-216,False,none
C-000049,2022-01-01,201.06,3094.73,R-040,False,none
C-000050,2022-01-01,179.49,1242.87,R-026,False,none
C-000051,2022-01-01,27.18,865.03,R-067,False,none
C-000052,2022-01-01,62.13,14.94,R-220,False,none
C-000053,2022-01-01,146.36,515.86,R-191,False,none
C-000054,2022-01-01,139.27,328.49,R-159,False,none
C-000055,2022-01-01,438.74,1621.45,R-042,False,none
C-000056,2022-01-01,69.9,2261.24,R-139,False,none
C-000057,2022-01-01,45.94,1975.11,R-184,False,none
C-000058,2022-01-01,129.66,861.73,R-075,False,none
C-000059,2022-01-01,329.82,524.05,R-058,False,none
C-000060,2022-01-01,282.99,2335.72,R-191,False,none
C-000061,2022-01-01,410.15,1348.64,R-029,False,none
C-000062,2022-01-01,258.79,8.79,R-201,True,kunda
C-000063,2022-01-01,251.53,884.63,R-106,False,none
C-000064,2022-01-01,33.65,112.54,R-159,False,none
C-000065,2022-01-01,184.73,634.32,R-082,False,none
C-000066,2022-01-01,156.85,320.22,R-157,False,none
C-000067,2022-01-01,124.46,305.26,R-204,False,none
C-000068,2022-01-01,126.48,130.86,R-109,False,none
C-000069,2022-01-01,59.73,5089.13,R-047,False,none
C-000070,2022-01-01,94.3,1992.94,R-018,False,none
C-000071,2022-01-01,135.34,782.27,R-204,False,none
C-000072,2022-01-01,472.08,134.8,R-220,True,intermittent_hookup
C-000073,2022-01-01,338.59,1185.61,R-144,False,none
C-000074,2022-01-01,274.3,212.59,R-004,False,none
C-000075,2022-01-01,44.62,674.99,R-195,False,none
C-000076,2022-01-01,349.4,1633.28,R-109,False,none
C-000077,2022-01-01,192.15,3830.17,R-052,False,none
C-000078,2022-01-01,108.82,1428.35,R-081,False,none
C-000079,2022-01-01,363.33,967.54,R-208,False,none
C-000080,2022-01-01,265.21,1794.33,R-171,False,none
C-000081,2022-01-01,88.36,1885.9,R-132,False,none
C-000082,2022-01-01,59.15,378.39,R-162,False,none
C-000083,2022-01-01,33.72,2374.59,R-187,False,none
C-000084,2022-01-01,362.33,2218.73,R-139,True,slab_defender
C-000085,2022-01-01,261.15,3099.2,R-070,False,none
C-000086,2022-01-01,212.46,231.01,R-017,False,none
C-000087,2022-01-01,243.9,482.36,R-028,True,fixed_shunt
C-000088,2022-01-01,338.89,6289.77,R-053,False,none
C-000089,2022-01-01,141.75,1507.4,R-170,False,none
C-000090,2022-01-01,165.26,5895.66,R-021,False,none
C-000091,2022-01-01,295.16,205.18,R-028,False,none
C-000092,2022-01-01,100.38,910.87,R-216,False,none
C-000093,2022-01-01,80.39,1248.47,R-089,False,none
C-000094,2022-01-01,245.56,2441.97,R-029,False,none
C-000095,2022-01-01,487.87,5938.16,R-192,False,none
C-000096,2022-01-01,166.94,162.03,R-213,False,none
C-000097,2022-01-01,21.37,614.01,R-111,False,none
C-000098,2022-01-01,138.28,856.94,R-025,False,none
C-000099,2022-01-01,72.29,668.38,R-139,False,none
C-000100,2022-01-01,1364.74,4331.33,R-190,False,none
C-000101,2022-01-01,923.02,1763.93,R-213,False,none
C-000102,2022-01-01,291.65,1163.65,R-127,False,none
C-000103,2022-01-01,101.4,41.28,R-208,False,none
C-000104,2022-01-01,5293.48,1492.85,R-183,False,none
C-000105,2022-01-01,306.88,5035.7,R-036,False,none
C-000106,2022-01-01,99.42,144.2,R-140,False,none
C-000107,2022-01-01,203.04,1046.88,R-147,False,none
C-000108,2022-01-01,358.16,786.12,R-170,False,none
C-000109,2022-01-01,467.78,2053.08,R-117,False,none
C-000110,2022-01-01,313.4,1547.42,R-161,False,none
C-000111,2022-01-01,121.88,1629.67,R-129,False,none
C-000112,2022-01-01,176.88,1569.63,R-058,False,none
C-000113,2022-01-01,142.67,583.56,R-107,False,none
C-000114,2022-01-01,301.98,845.29,R-206,False,none
C-000115,2022-01-01,44.88,325.76,R-186,False,none
C-000116,2022-01-01,773.27,60.5,R-142,False,none
C-000117,2022-01-01,347.81,495.97,R-071,False,none
C-000118,2022-01-01,330.89,65.78,R-045,False,none
C-000119,2022-01-01,118.33,250.76,R-063,False,none
C-000120,2022-01-01,159.44,1054.5,R-068,False,none
C-000121,2022-01-01,85.1,589.03,R-212,False,none
C-000122,2022-01-01,68.58,2061.01,R-118,True,peak_hour_shaver
C-000123,2022-01-01,56.33,995.78,R-086,True,fixed_shunt
C-000124,2022-01-01,92.58,324.09,R-195,True,slab_defender
C-000125,2022-01-01,146.16,2365.64,R-082,False,none
C-000126,2022-01-01,133.73,744.47,R-176,False,none
C-000127,2022-01-01,33.39,1094.05,R-142,False,none
C-000128,2022-01-01,403.52,1069.02,R-067,False,none
C-000129,2022-01-01,30.82,2728.87,R-212,False,none
C-000130,2022-01-01,154.73,857.02,R-152,False,none
C-000131,2022-01-01,235.04,760.44,R-218,False,none
C-000132,2022-01-01,5.35,4579.44,R-001,False,none
C-000133,2022-01-01,151.93,1262.08,R-062,False,none
C-000134,2022-01-01,331.13,296.31,R-074,False,none
C-000135,2022-01-01,246.67,2422.4,R-149,False,none
C-000136,2022-01-01,11.95,1605.73,R-185,False,none
C-000137,2022-01-01,10.76,915.73,R-027,False,none
C-000138,2022-01-01,225.22,5194.87,R-034,False,none
C-000139,2022-01-01,260.32,11992.97,R-149,False,none
C-000140,2022-01-01,22.29,857.38,R-078,False,none
C-000141,2022-01-01,70.62,865.97,R-154,False,none
C-000142,2022-01-01,228.47,1445.15,R-001,False,none
C-000143,2022-01-01,633.61,947.4,R-116,False,none
C-000144,2022-01-01,49.01,379.65,R-006,False,none
C-000145,2022-01-01,200.58,1685.58,R-210,False,none
C-000146,2022-01-01,291.17,757.78,R-033,False,none
C-000147,2022-01-01,42.49,292.42,R-040,True,peak_hour_shaver
C-000148,2022-01-01,31.08,2347.66,R-023,False,none
C-000149,2022-01-01,178.9,3255.58,R-049,False,none
C-000150,2022-01-01,260.98,4803.6,R-108,False,none
C-000151,2022-01-01,203.11,293.62,R-136,False,none
C-000152,2022-01-01,625.06,2369.22,R-199,False,none
C-000153,2022-01-01,53.57,4867.9,R-194,False,none
C-000154,2022-01-01,145.34,442.68,R-019,False,none
C-000155,2022-01-01,131.26,1502.69,R-095,False,none
C-000156,2022-01-01,146.84,1547.78,R-192,False,none
C-000157,2022-01-01,11.5,803.09,R-037,False,none
C-000158,2022-01-01,206.38,3433.94,R-147,True,nighttime_ac
C-000159,2022-01-01,53.54,420.42,R-094,False,none
C-000160,2022-01-01,162.75,557.99,R-038,False,none
C-000161,2022-01-01,68.38,3678.86,R-014,False,none
C-000162,2022-01-01,680.54,1582.5,R-064,False,none
C-000163,2022-01-01,141.81,1057.73,R-001,False,none
C-000164,2022-01-01,187.19,3411.13,R-043,False,none
C-000165,2022-01-01,9.52,1758.72,R-121,False,none
C-000166,2022-01-01,621.55,4911.8,R-174,False,none
C-000167,2022-01-01,987.53,1598.01,R-112,False,none
C-000168,2022-01-01,790.26,458.27,R-160,False,none
C-000169,2022-01-01,681.22,318.58,R-017,False,none
C-000170,2022-01-01,9.54,287.19,R-067,False,none
C-000171,2022-01-01,193.86,232.63,R-145,False,none
C-000172,2022-01-01,63.25,4446.29,R-012,False,none
C-000173,2022-01-01,44.74,655.54,R-129,False,none
C-000174,2022-01-01,272.19,1001.13,R-038,False,none
C-000175,2022-01-01,166.49,644.6,R-093,False,none
C-000176,2022-01-01,187.4,259.7,R-139,False,none
C-000177,2022-01-01,56.95,3334.5,R-218,False,none
C-000178,2022-01-01,2777.45,186.24,R-020,False,none
C-000179,2022-01-01,348.21,2156.8,R-122,False,none
C-000180,2022-01-01,243.99,789.45,R-119,False,none
C-000181,2022-01-01,997.86,1359.97,R-014,False,none
C-000182,2022-01-01,373.31,2652.63,R-135,False,none
C-000183,2022-01-01,75.08,687.8,R-017,False,none
C-000184,2022-01-01,41.96,2139.96,R-152,False,none
C-000185,2022-01-01,76.72,30.85,R-046,False,none
C-000186,2022-01-01,55.07,767.22,R-028,False,none
C-000187,2022-01-01,102.84,742.5,R-016,True,slab_defender
C-000188,2022-01-01,97.46,737.09,R-102,False,none
C-000189,2022-01-01,195.33,4054.69,R-052,False,none
C-000190,2022-01-01,79.92,458.29,R-102,False,none
C-000191,2022-01-01,774.39,1149.79,R-198,False,none
C-000192,2022-01-01,47.02,1656.67,R-184,False,none
C-000193,2022-01-01,33.25,674.58,R-166,False,none
C-000194,2022-01-01,602.18,1169.3,R-104,False,none
C-000195,2022-01-01,42.02,527.12,R-025,False,none
C-000196,2022-01-01,781.4,1161.71,R-090,False,none
C-000197,2022-01-01,42.39,410.17,R-005,False,none
C-000198,2022-01-01,619.87,1526.39,R-028,True,gradual_slowdown
C-000199,2022-01-01,246.11,2642.93,R-067,False,none
C-000200,2022-01-01,215.56,432.96,R-153,False,none
C-000201,2022-01-01,110.25,1574.61,R-174,False,none
C-000202,2022-01-01,4294.04,516.73,R-137,False,none
C-000203,2022-01-01,122.65,234.18,R-057,False,none
C-000204,2022-01-01,125.2,635.24,R-COL-03,True,collusion
C-000205,2022-01-01,186.01,174.1,R-220,False,none
C-000206,2022-01-01,420.28,1185.85,R-145,False,none
C-000207,2022-01-01,313.78,654.66,R-168,False,none
C-000208,2022-01-01,14.16,1833.16,R-193,False,none
C-000209,2022-01-01,30.91,392.24,R-158,False,none
C-000210,2022-01-01,80.98,1061.7,R-194,False,none
C-000211,2022-01-01,86.98,1294.27,R-066,False,none
C-000212,2022-01-01,448.76,300.62,R-068,False,none
C-000213,2022-01-01,25.09,2521.85,R-039,False,none
C-000214,2022-01-01,1178.75,654.93,R-041,False,none
C-000215,2022-01-01,238.13,556.17,R-122,False,none
C-000216,2022-01-01,126.07,1734.2,R-204,False,none
C-000217,2022-01-01,177.21,1794.34,R-049,False,none
C-000218,2022-01-01,35.49,822.17,R-157,False,none
C-000219,2022-01-01,340.66,701.76,R-018,False,none
C-000220,2022-01-01,144.64,2907.85,R-214,True,fixed_shunt
C-000221,2022-01-01,377.27,5024.6,R-116,False,none
C-000222,2022-01-01,301.24,209.28,R-110,False,none
C-000223,2022-01-01,333.65,2110.67,R-080,False,none
C-000224,2022-01-01,2676.63,1054.38,R-212,False,none
C-000225,2022-01-01,269.7,2664.32,R-093,False,none
C-000226,2022-01-01,531.61,1302.41,R-027,False,none
C-000227,2022-01-01,259.06,612.5,R-125,False,none
C-000228,2022-01-01,53.99,376.29,R-130,False,none
C-000229,2022-01-01,47.64,3249.51,R-165,False,none
C-000230,2022-01-01,87.43,564.36,R-110,False,none
C-000231,2022-01-01,118.01,1214.44,R-062,False,none
C-000232,2022-01-01,230.16,20.89,R-001,False,none
C-000233,2022-01-01,2092.32,228.1,R-218,False,none
C-000234,2022-01-01,202.7,983.89,R-043,False,none
C-000235,2022-01-01,1210.96,7528.25,R-078,False,none
C-000236,2022-01-01,289.94,1471.83,R-034,False,none
C-000237,2022-01-01,296.03,4353.8,R-052,False,none
C-000238,2022-01-01,61.59,1570.04,R-014,False,none
C-000239,2022-01-01,212.67,637.83,R-075,True,slab_defender
C-000240,2022-01-01,177.08,21.24,R-209,False,none
C-000241,2022-01-01,449.53,51.59,R-050,False,none
C-000242,2022-01-01,39.49,43.22,R-213,False,none
C-000243,2022-01-01,73.97,2265.38,R-140,False,none
C-000244,2022-01-01,125.51,308.48,R-197,False,none
C-000245,2022-01-01,7.97,1916.3,R-137,False,none
C-000246,2022-01-01,1421.64,66.58,R-218,False,none
C-000247,2022-01-01,30.96,51.24,R-122,False,none
C-000248,2022-01-01,174.9,477.36,R-183,False,none
C-000249,2022-01-01,75.32,894.65,R-009,False,none
C-000250,2022-01-01,356.59,2808.48,R-206,False,none
C-000251,2022-01-01,583.47,266.68,R-005,False,none
C-000252,2022-01-01,1567.2,300.16,R-044,False,none
C-000253,2022-01-01,890.69,1826.62,R-163,False,none
C-000254,2022-01-01,163.75,3170.51,R-057,False,none
C-000255,2022-01-01,127.37,1125.49,R-010,False,none
C-000256,2022-01-01,130.47,1192.48,R-190,False,none
C-000257,2022-01-01,819.92,2252.78,R-113,False,none
C-000258,2022-01-01,141.67,460.43,R-106,False,none
C-000259,2022-01-01,285.4,1969.91,R-070,False,none
C-000260,2022-01-01,232.94,1066.24,R-158,False,none
C-000261,2022-01-01,224.64,1009.28,R-070,False,none
C-000262,2022-01-01,458.11,875.26,R-124,False,none
C-000263,2022-01-01,118.84,1645.54,R-029,False,none
C-000264,2022-01-01,51.22,75.22,R-068,False,none
C-000265,2022-01-01,454.1,590.65,R-007,False,none
C-000266,2022-01-01,324.51,3815.04,R-063,False,none
C-000267,2022-01-01,215.19,582.67,R-084,False,none
C-000268,2022-01-01,59.84,650.89,R-165,False,none
C-000269,2022-01-01,209.6,1750.09,R-181,False,none
C-000270,2022-01-01,79.58,1051.26,R-118,False,none
C-000271,2022-01-01,132.39,2188.96,R-204,False,none
C-000272,2022-01-01,262.08,1952.05,R-080,False,none
C-000273,2022-01-01,66.07,2287.75,R-109,False,none
C-000274,2022-01-01,169.61,2391.34,R-136,False,none
C-000275,2022-01-01,102.87,2672.89,R-039,True,kunda
C-000276,2022-01-01,67.04,3764.91,R-093,False,none
C-000277,2022-01-01,138.14,136.15,R-198,False,none
C-000278,2022-01-01,283.65,2609.56,R-105,False,none
C-000279,2022-01-01,119.12,1281.88,R-205,False,none
C-000280,2022-01-01,1489.52,1441.58,R-150,False,none
C-000281,2022-01-01,267.74,480.99,R-038,False,none
C-000282,2022-01-01,460.85,349.2,R-101,False,none
C-000283,2022-01-01,211.2,2530.34,R-081,False,none
C-000284,2022-01-01,355.2,4366.84,R-209,False,none
C-000285,2022-01-01,77.95,2085.35,R-074,False,none
C-000286,2022-01-01,145.88,2011.06,R-107,True,nighttime_ac
C-000287,2022-01-01,271.41,72.94,R-152,False,none
C-000288,2022-01-01,199.06,4216.93,R-212,False,none
C-000289,2022-01-01,144.57,376.77,R-121,False,none
C-000290,2022-01-01,74.37,1903.43,R-187,False,none
C-000291,2022-01-01,656.96,20.6,R-026,False,none
C-000292,2022-01-01,146.34,2978.1,R-197,False,none
C-000293,2022-01-01,1860.81,1084.47,R-COL-04,True,collusion
C-000294,2022-01-01,45.26,13.59,R-168,False,none
C-000295,2022-01-01,290.94,3268.68,R-118,False,none
C-000296,2022-01-01,887.24,3695.87,R-133,False,none
C-000297,2022-01-01,2087.47,3718.11,R-021,False,none
C-000298,2022-01-01,4.7,2360.31,R-118,False,none
C-000299,2022-01-01,239.62,1681.82,R-020,False,none
C-000300,2022-01-01,349.49,372.16,R-122,False,none
C-000301,2022-01-01,145.89,2991.14,R-090,False,none
C-000302,2022-01-01,238.15,4558.75,R-045,False,none
C-000303,2022-01-01,193.98,1373.05,R-109,False,none
C-000304,2022-01-01,316.22,426.17,R-048,False,none
C-000305,2022-01-01,664.24,2399.21,R-019,False,none
C-000306,2022-01-01,408.13,348.95,R-008,False,none
C-000307,2022-01-01,181.8,1804.36,R-076,False,none
C-000308,2022-01-01,97.16,462.08,R-165,True,kunda
C-000309,2022-01-01,190.89,1413.24,R-127,False,none
C-000310,2022-01-01,74.52,3807.7,R-028,False,none
C-000311,2022-01-01,68.86,1658.79,R-098,False,none
C-000312,2022-01-01,40.45,1113.28,R-129,False,none
C-000313,2022-01-01,268.84,163.06,R-052,False,none
C-000314,2022-01-01,229.49,854.89,R-031,False,none
C-000315,2022-01-01,213.76,13.27,R-055,False,none
C-000316,2022-01-01,256.84,1123.49,R-015,False,none
C-000317,2022-01-01,233.26,3658.81,R-054,False,none
C-000318,2022-01-01,229.2,2230.41,R-118,False,none
C-000319,2022-01-01,282.99,614.0,R-177,False,none
C-000320,2022-01-01,432.35,1301.11,R-193,False,none
C-000321,2022-01-01,1101.97,1866.17,R-149,False,none
C-000322,2022-01-01,216.19,3695.01,R-079,False,none
C-000323,2022-01-01,150.72,592.09,R-206,False,none
C-000324,2022-01-01,142.28,1531.16,R-203,False,none
C-000325,2022-01-01,412.34,9.5,R-079,False,none
C-000326,2022-01-01,34.84,455.32,R-003,False,none
C-000327,2022-01-01,704.7,1931.62,R-096,False,none
C-000328,2022-01-01,54.58,5600.28,R-103,False,none
C-000329,2022-01-01,108.65,3199.41,R-149,False,none
C-000330,2022-01-01,411.4,3788.62,R-033,False,none
C-000331,2022-01-01,259.64,922.01,R-120,False,none
C-000332,2022-01-01,263.55,2512.1,R-070,False,none
C-000333,2022-01-01,142.77,54.96,R-109,False,none
C-000334,2022-01-01,95.36,503.76,R-006,False,none
C-000335,2022-01-01,145.89,174.25,R-117,False,none
C-000336,2022-01-01,107.27,2006.39,R-008,False,none
C-000337,2022-01-01,134.89,693.44,R-188,False,none
C-000338,2022-01-01,153.94,2125.31,R-157,False,none
C-000339,2022-01-01,155.54,3562.09,R-203,False,none
C-000340,2022-01-01,1390.93,1298.05,R-144,False,none
C-000341,2022-01-01,296.37,2826.1,R-216,False,none
C-000342,2022-01-01,5266.87,2101.78,R-046,False,none
C-000343,2022-01-01,222.59,784.72,R-002,False,none
C-000344,2022-01-01,211.21,2841.57,R-199,False,none
C-000345,2022-01-01,91.18,123.19,R-146,False,none
C-000346,2022-01-01,344.1,941.95,R-152,False,none
C-000347,2022-01-01,245.2,481.4,R-064,False,none
C-000348,2022-01-01,523.88,3502.46,R-074,False,none
C-000349,2022-01-01,53.25,333.71,R-150,False,none
C-000350,2022-01-01,384.15,469.61,R-090,True,gradual_slowdown
C-000351,2022-01-01,192.4,6100.07,R-017,False,none
C-000352,2022-01-01,113.8,2291.73,R-065,False,none
C-000353,2022-01-01,173.43,136.43,R-085,False,none
C-000354,2022-01-01,234.97,1847.34,R-183,False,none
C-000355,2022-01-01,312.16,5702.6,R-076,False,none
C-000356,2022-01-01,104.85,433.57,R-109,False,none
C-000357,2022-01-01,138.23,735.29,R-132,False,none
C-000358,2022-01-01,284.21,355.43,R-030,False,none
C-000359,2022-01-01,154.44,858.54,R-129,False,none
C-000360,2022-01-01,248.52,363.13,R-045,False,none
C-000361,2022-01-01,473.26,2059.85,R-194,False,none
C-000362,2022-01-01,260.6,190.22,R-066,False,none
C-000363,2022-01-01,8.8,898.38,R-067,False,none
C-000364,2022-01-01,218.79,3170.52,R-089,False,none
C-000365,2022-01-01,94.22,2435.84,R-080,False,none
C-000366,2022-01-01,138.95,974.43,R-131,False,none
C-000367,2022-01-01,153.38,170.3,R-160,False,none
C-000368,2022-01-01,86.42,1824.81,R-COL-01,True,collusion
C-000369,2022-01-01,227.77,1457.52,R-196,False,none
C-000370,2022-01-01,913.56,2835.3,R-058,False,none
C-000371,2022-01-01,109.7,509.93,R-133,False,none
C-000372,2022-01-01,20.76,373.6,R-073,False,none
C-000373,2022-01-01,86.54,3417.6,R-178,False,none
C-000374,2022-01-01,116.9,1125.88,R-006,False,none
C-000375,2022-01-01,108.91,2493.72,R-219,False,none
C-000376,2022-01-01,10.62,1488.62,R-082,False,none
C-000377,2022-01-01,1005.07,356.47,R-164,False,none
C-000378,2022-01-01,72.24,128.1,R-149,False,none
C-000379,2022-01-01,152.86,5741.18,R-081,False,none
C-000380,2022-01-01,77.23,185.98,R-212,False,none
C-000381,2022-01-01,38.17,1575.71,R-059,False,none
C-000382,2022-01-01,1013.69,1402.39,R-163,False,none
C-000383,2022-01-01,38.28,568.3,R-205,False,none
C-000384,2022-01-01,344.76,1229.25,R-026,False,none
C-000385,2022-01-01,175.09,11.63,R-202,False,none
C-000386,2022-01-01,1485.48,5346.38,R-196,False,none
C-000387,2022-01-01,217.18,1227.85,R-084,False,none
C-000388,2022-01-01,40.19,231.99,R-185,False,none
C-000389,2022-01-01,90.81,3017.49,R-002,False,none
C-000390,2022-01-01,293.83,793.39,R-042,True,slab_defender
C-000391,2022-01-01,115.83,1219.04,R-166,False,none
C-000392,2022-01-01,421.37,207.38,R-206,True,peak_hour_shaver
C-000393,2022-01-01,190.9,3803.03,R-028,False,none
C-000394,2022-01-01,165.69,363.28,R-158,True,fixed_shunt
C-000395,2022-01-01,192.18,3138.85,R-023,False,none
C-000396,2022-01-01,146.44,833.23,R-173,False,none
C-000397,2022-01-01,164.85,749.89,R-198,False,none
C-000398,2022-01-01,193.57,109.19,R-102,False,none
C-000399,2022-01-01,245.45,1546.98,R-023,False,none
C-000400,2022-01-01,192.99,726.49,R-045,False,none
C-000401,2022-01-01,300.18,422.22,R-112,False,none
C-000402,2022-01-01,199.98,1010.13,R-176,False,none
C-000403,2022-01-01,88.89,3170.74,R-115,False,none
C-000404,2022-01-01,328.41,592.61,R-106,False,none
C-000405,2022-01-01,589.26,855.17,R-133,False,none
C-000406,2022-01-01,394.91,1102.55,R-213,False,none
C-000407,2022-01-01,638.43,564.0,R-174,False,none
C-000408,2022-01-01,837.51,3510.33,R-034,False,none
C-000409,2022-01-01,171.26,976.63,R-044,False,none
C-000410,2022-01-01,44.51,664.7,R-079,False,none
C-000411,2022-01-01,174.27,280.63,R-060,True,slab_defender
C-000412,2022-01-01,38.96,1308.37,R-162,False,none
C-000413,2022-01-01,91.12,2977.76,R-219,False,none
C-000414,2022-01-01,267.41,2263.87,R-126,False,none
C-000415,2022-01-01,140.12,530.33,R-196,False,none
C-000416,2022-01-01,622.14,4930.88,R-096,False,none
C-000417,2022-01-01,137.36,1717.0,R-152,False,none
C-000418,2022-01-01,37.82,2183.9,R-155,False,none
C-000419,2022-01-01,50.37,806.23,R-065,True,fixed_shunt
C-000420,2022-01-01,1051.43,420.9,R-162,False,none
C-000421,2022-01-01,57.38,117.41,R-118,False,none
C-000422,2022-01-01,158.43,260.36,R-128,False,none
C-000423,2022-01-01,189.23,175.59,R-056,False,none
C-000424,2022-01-01,132.38,1598.05,R-071,False,none
C-000425,2022-01-01,222.02,3374.2,R-189,False,none
C-000426,2022-01-01,574.62,1746.04,R-137,False,none
C-000427,2022-01-01,59.9,3448.52,R-029,False,none
C-000428,2022-01-01,1509.48,335.99,R-120,False,none
C-000429,2022-01-01,339.32,3448.09,R-137,False,none
C-000430,2022-01-01,1631.91,3675.65,R-176,False,none
C-000431,2022-01-01,145.15,1332.93,R-188,False,none
C-000432,2022-01-01,162.21,2981.02,R-144,False,none
C-000433,2022-01-01,145.83,1564.71,R-003,False,none
C-000434,2022-01-01,542.6,446.06,R-110,False,none
C-000435,2022-01-01,160.51,3197.75,R-046,False,none
C-000436,2022-01-01,113.53,2225.46,R-005,False,none
C-000437,2022-01-01,178.85,1565.53,R-204,False,none
C-000438,2022-01-01,173.75,1440.27,R-037,False,none
C-000439,2022-01-01,351.43,380.23,R-055,False,none
C-000440,2022-01-01,228.13,682.6,R-075,False,none
C-000441,2022-01-01,395.44,1407.22,R-103,False,none
C-000442,2022-01-01,231.18,770.02,R-133,True,gradual_slowdown
C-000443,2022-01-01,164.64,696.32,R-069,False,none
C-000444,2022-01-01,11.06,614.79,R-175,False,none
C-000445,2022-01-01,89.16,240.1,R-035,False,none
C-000446,2022-01-01,47.96,1903.09,R-212,False,none
C-000447,2022-01-01,2272.15,664.61,R-189,False,none
C-000448,2022-01-01,54.18,1092.06,R-132,False,none
C-000449,2022-01-01,88.08,259.71,R-011,False,none
C-000450,2022-01-01,41.3,4292.13,R-161,False,none
C-000451,2022-01-01,109.74,647.16,R-155,False,none
C-000452,2022-01-01,793.71,1775.28,R-137,True,peak_hour_shaver
C-000453,2022-01-01,258.78,2517.52,R-062,False,none
C-000454,2022-01-01,112.02,4948.41,R-095,False,none
C-000455,2022-01-01,216.36,625.42,R-092,True,slab_defender
C-000456,2022-01-01,132.58,868.52,R-135,False,none
C-000457,2022-01-01,4.69,850.64,R-073,False,none
C-000458,2022-01-01,77.54,154.75,R-089,False,none
C-000459,2022-01-01,156.98,902.52,R-200,False,none
C-000460,2022-01-01,237.03,481.43,R-100,False,none
C-000461,2022-01-01,177.53,511.88,R-131,False,none
C-000462,2022-01-01,176.25,917.12,R-201,False,none
C-000463,2022-01-01,333.34,3374.71,R-208,False,none
C-000464,2022-01-01,220.81,4878.48,R-125,False,none
C-000465,2022-01-01,83.19,3825.84,R-059,True,slab_defender
C-000466,2022-01-01,346.78,647.31,R-023,False,none
C-000467,2022-01-01,175.46,3259.92,R-190,False,none
C-000468,2022-01-01,383.6,4279.72,R-116,False,none
C-000469,2022-01-01,210.46,1706.15,R-125,False,none
C-000470,2022-01-01,84.0,702.98,R-210,False,none
C-000471,2022-01-01,79.37,1608.64,R-082,False,none
C-000472,2022-01-01,190.53,3281.08,R-023,False,none
C-000473,2022-01-01,47.19,1339.61,R-149,False,none
C-000474,2022-01-01,330.96,544.23,R-214,False,none
C-000475,2022-01-01,181.29,44.17,R-038,False,none
C-000476,2022-01-01,58.33,194.92,R-218,False,none
C-000477,2022-01-01,249.85,770.37,R-120,True,kunda
C-000478,2022-01-01,104.89,402.99,R-124,False,none
C-000479,2022-01-01,122.98,5183.07,R-212,False,none
C-000480,2022-01-01,481.96,1455.75,R-074,True,slab_defender
