feeder_id,month,injected_energy_kwh,feeder_uptime_pct,avg_temp_c
F-05,2023-02-01,139267.9,93.33,11.1
F-05,2023-03-01,168513.08,94.54,17.8
F-05,2023-04-01,195934.34,93.65,24.6
F-05,2023-05-01,217387.92,94.37,30.6
F-05,2023-06-01,228935.88,93.51,32.2
F-05,2023-07-01,218537.97999999998,93.66,30.0
F-05,2023-08-01,195537.16,91.73,25.3
F-05,2023-09-01,165970.29,94.59,18.1
F-05,2023-10-01,138344.44,95.44,10.8
F-05,2023-11-01,116580.06,94.46,6.3
F-05,2023-12-01,107815.20999999999,93.6,4.4
F-05,2024-01-01,117402.84,94.31,6.8
F-05,2024-02-01,140612.01,92.84,11.2
F-05,2024-03-01,166413.54,92.2,18.0
F-05,2024-04-01,196984.96000000002,92.74,24.8
F-05,2024-05-01,216676.2,93.51,30.1
F-05,2024-06-01,226400.99,93.73,32.0
F-05,2024-07-01,217550.11,93.57,30.1
F-05,2024-08-01,197511.08000000002,93.46,24.8
F-05,2024-09-01,168222.89,95.61,17.9
F-05,2024-10-01,136667.54,93.87,10.6
F-05,2024-11-01,115438.81999999999,91.84,5.8
F-05,2024-12-01,108722.78,92.87,3.9
F-06,2022-01-01,82984.09,97.45,5.8
F-06,2022-02-01,97874.98,96.14,11.2
F-06,2022-03-01,118675.95,96.61,18.0
F-06,2022-04-01,137175.27,96.54,24.1
F-06,2022-05-01,155208.91999999998,96.34,30.1
F-06,2022-06-01,158202.31,96.55,32.2
F-06,2022-07-01,154508.0,95.88,30.2
F-06,2022-08-01,138249.14,96.69,25.2
F-06,2022-09-01,118707.22,96.15,18.1
F-06,2022-10-01,98276.95,97.05,11.0
F-06,2022-11-01,82423.04,95.79,6.0
F-06,2022-12-01,76761.26,96.53,3.9
F-06,2023-01-01,82795.45,96.33,6.6
F-06,2023-02-01,96720.22,96.24,11.2
F-06,2023-03-01,118135.12,96.95,17.6
F-06,2023-04-01,139080.6,97.02,24.8
F-06,2023-05-01,154758.99,96.06,29.9
F-06,2023-06-01,160591.16,96.06,32.6
F-06,2023-07-01,154979.91,96.83,30.6
F-06,2023-08-01,137922.58,94.53,24.7
F-06,2023-09-01,118295.44,94.23,18.0
F-06,2023-10-01,97353.75,97.16,10.5
F-06,2023-11-01,82887.83,96.5,6.2
F-06,2023-12-01,77134.89,96.05,3.2
F-06,2024-01-01,82779.24,96.1,6.0
F-06,2024-02-01,97862.08,97.38,10.4
F-06,2024-03-01,118039.22,96.18,17.9
F-06,2024-04-01,139126.61,95.77,25.3
F-06,2024-05-01,153724.55,96.9,29.9
F-06,2024-06-01,158976.71,96.38,32.1
F-06,2024-07-01,154306.55,95.28,30.3
F-06,2024-08-01,140583.58,96.07,25.0
F-06,2024-09-01,117421.26,96.06,17.3
F-06,2024-10-01,97408.3,95.34,10.9
F-06,2024-11-01,83082.08,95.52,5.8
F-06,2024-12-01,76805.3,96.82,3.2
F-07,2022-01-01,107954.11,92.9,5.4
F-07,2022-02-01,131414.41,91.19,10.8
F-07,2022-03-01,154983.08,91.26,18.1
F-07,2022-04-01,183136.73,91.42,24.3
F-07,2022-05-01,203307.99,91.63,29.3
F-07,2022-06-01,211223.25,91.78,32.1
F-07,2022-07-01,205753.24,91.91,29.8
F-07,2022-08-01,184935.55,91.34,25.2
F-07,2022-09-01,158104.07,92.15,18.1
F-07,2022-10-01,127840.95,91.73,11.3
F-07,2022-11-01,108147.45999999999,92.41,6.1
F-07,2022-12-01,102407.86,90.92,3.4
F-07,2023-01-01,110289.31,90.14,6.1
F-07,2023-02-01,129802.47,94.09,10.9
F-07,2023-03-01,156695.71,92.5,17.7
F-07,2023-04-01,184963.91,93.37,25.3
F-07,2023-05-01,203989.25,91.9,30.1
F-07,2023-06-01,212449.23,93.4,32.4
F-07,2023-07-01,204835.33,93.03,30.5
F-07,2023-08-01,183586.9,93.18,24.8
F-07,2023-09-01,154711.64,91.44,17.7
F-07,2023-10-01,128353.47,91.16,11.2
F-07,2023-11-01,108751.88,92.28,6.7
F-07,2023-12-01,101716.67,90.91,3.5
F-07,2024-01-01,108843.24,92.36,6.1
F-07,2024-02-01,129281.88,89.79,11.7
F-07,2024-03-01,156848.63,90.44,17.3
F-07,2024-04-01,182873.08,92.22,24.7
F-07,2024-05-01,205894.97999999998,92.58,30.4
F-07,2024-06-01,212798.05,93.55,31.8
F-07,2024-07-01,205825.22999999998,91.88,30.0
F-07,2024-08-01,186679.2,92.34,24.4
F-07,2024-09-01,156902.87,90.52,18.6
F-07,2024-10-01,130805.09,92.71,11.1
F-07,2024-11-01,110025.65,92.65,5.8
F-07,2024-12-01,102667.67,92.38,4.3
F-08,2022-01-01,121603.87,87.72,5.5
F-08,2022-02-01,142979.18,87.3,11.0
F-08,2022-03-01,173625.91,88.89,18.5
F-08,2022-04-01,203461.02000000002,88.34,25.1
F-08,2022-05-01,226026.56,88.39,29.6
F-08,2022-06-01,233889.4,86.12,31.9
F-08,2022-07-01,226803.21,88.2,29.6
F-08,2022-08-01,204934.1,85.93,25.1
F-08,2022-09-01,174083.68,87.2,18.4
F-08,2022-10-01,143952.43,86.96,11.1
F-08,2022-11-01,120976.27,86.84,6.0
F-08,2022-12-01,112723.58,86.1,3.5
F-08,2023-01-01,120168.75,88.49,5.8
F-08,2023-02-01,141916.34,88.17,11.0
F-08,2023-03-01,173411.26,86.22,18.2
F-08,2023-04-01,205784.77,88.63,24.8
F-08,2023-05-01,224922.79,87.02,30.2
F-08,2023-06-01,235662.94,87.34,32.4
F-08,2023-07-01,226681.4,86.86,29.2
F-08,2023-08-01,203289.31,88.9,24.5
F-08,2023-09-01,173435.72999999998,87.51,18.0
F-08,2023-10-01,142907.53,89.74,11.0
F-08,2023-11-01,120057.88,87.81,5.7
F-08,2023-12-01,112328.8,85.95,4.4
F-08,2024-01-01,121607.33,89.03,5.7
F-08,2024-02-01,142787.92,86.2,11.2
F-08,2024-03-01,173307.69,86.68,18.0
F-08,2024-04-01,203578.35,88.28,25.2
F-08,2024-05-01,225297.87,87.76,30.1
F-08,2024-06-01,233811.96,87.68,32.4
F-08,2024-07-01,225689.46,87.37,30.1
F-08,2024-08-01,203190.87,87.91,24.9
F-08,2024-09-01,172661.04,88.24,17.8
F-08,2024-10-01,142155.15,88.35,10.9
F-08,2024-11-01,121012.91,87.61,6.1
F-08,2024-12-01,113754.28,87.7,3.7
F-09,2022-01-01,123903.02,98.66,6.1
F-09,2022-02-01,147960.49,99.18,12.1
F-09,2022-03-01,176214.17,98.95,18.2
F-09,2022-04-01,209165.54,98.57,24.8
F-09,2022-05-01,233812.05,97.54,29.5
F-09,2022-06-01,241137.86,98.27,31.8
F-09,2022-07-01,232084.27000000002,97.86,30.1
F-09,2022-08-01,211448.22,98.38,25.4
F-09,2022-09-01,179448.45,99.57,18.5
F-09,2022-10-01,145914.81,98.99,10.7
F-09,2022-11-01,124901.11,98.25,5.6
F-09,2022-12-01,115747.0,99.15,3.8
F-09,2023-01-01,123995.25,97.99,6.2
F-09,2023-02-01,145872.47,99.29,11.3
F-09,2023-03-01,178155.28,98.94,17.7
F-09,2023-04-01,209908.96,98.42,24.7
F-09,2023-05-01,232131.26,98.88,31.1
F-09,2023-06-01,242322.33000000002,99.15,31.6
F-09,2023-07-01,235037.03,98.13,29.9
F-09,2023-08-01,210018.66,98.41,24.8
F-09,2023-09-01,177257.24,98.03,17.6
F-09,2023-10-01,146579.57,97.76,10.4
F-09,2023-11-01,124140.27,98.1,6.2
F-09,2023-12-01,116044.31,97.34,4.6
F-09,2024-01-01,123984.13,98.46,6.4
F-09,2024-02-01,146784.29,98.94,11.9
F-09,2024-03-01,178300.74,98.96,18.2
F-09,2024-04-01,209918.32,97.88,25.2
F-09,2024-05-01,230188.09,97.89,30.0
F-09,2024-06-01,241299.42,98.79,32.6
F-09,2024-07-01,234195.4,98.66,29.5
F-09,2024-08-01,209432.24,97.93,25.4
F-09,2024-09-01,177506.02,98.36,17.6
F-09,2024-10-01,147977.88,97.97,10.9
F-09,2024-11-01,123716.23,97.87,6.1
F-09,2024-12-01,116432.89,97.21,4.2
F-10,2022-01-01,107097.38,90.56,5.6
F-10,2022-02-01,126483.94,91.16,10.5
F-10,2022-03-01,154892.24,92.48,17.5
F-10,2022-04-01,182705.6,91.72,25.1
F-10,2022-05-01,201167.29,91.65,30.0
F-10,2022-06-01,207261.18,91.28,32.0
F-10,2022-07-01,202584.02,90.05,30.8
F-10,2022-08-01,181401.55,91.28,25.3
F-10,2022-09-01,154148.36,91.34,17.6
F-10,2022-10-01,127170.73000000001,91.13,11.3
F-10,2022-11-01,107891.51,90.49,6.2
F-10,2022-12-01,100353.13,91.42,3.5
F-10,2023-01-01,107535.68,91.92,6.2
F-10,2023-02-01,125876.77,91.22,11.6
F-10,2023-03-01,153261.73,89.89,18.3
F-10,2023-04-01,177520.14,91.34,25.5
F-10,2023-05-01,202650.65,90.44,29.8
F-10,2023-06-01,209975.57,90.2,31.9
F-10,2023-07-01,201261.77,90.7,30.0
F-10,2023-08-01,179965.61000000002,91.45,24.5
F-10,2023-09-01,154531.36000000002,93.68,17.3
F-10,2023-10-01,126713.22,92.13,11.2
F-10,2023-11-01,106556.95,92.28,5.9
F-10,2023-12-01,99626.59,91.96,3.6
F-10,2024-01-01,107667.29,90.03,5.3
F-10,2024-02-01,127268.68,91.64,10.3
F-10,2024-03-01,152518.24,92.67,17.4
F-10,2024-04-01,180572.78,92.85,25.1
F-10,2024-05-01,200831.41999999998,92.17,29.6
F-10,2024-06-01,208261.48,90.05,32.2
F-10,2024-07-01,203086.16,92.43,30.1
F-10,2024-08-01,182138.03,91.63,24.4
F-10,2024-09-01,154107.3,92.65,18.4
F-10,2024-10-01,127336.99,90.89,11.1
F-10,2024-11-01,105939.91,91.81,6.1
F-10,2024-12-01,100291.97,90.9,3.5
F-11,2022-01-01,112071.41,88.51,6.9
F-11,2022-02-01,134290.6,88.64,11.8
F-11,2022-03-01,162004.6,88.92,17.8
F-11,2022-04-01,190053.41,87.96,24.9
F-11,2022-05-01,211344.47,88.74,30.4
F-11,2022-06-01,218882.96,88.35,32.2
F-11,2022-07-01,210491.15,87.46,30.2
F-11,2022-08-01,192611.67,86.68,25.1
F-11,2022-09-01,162275.03,86.71,18.0
F-11,2022-10-01,134296.25,88.21,11.2
F-11,2022-11-01,112449.0,89.6,6.1
F-11,2022-12-01,104675.14,85.89,4.0
F-11,2023-01-01,112495.58,88.36,5.6
F-11,2023-02-01,134922.95,87.71,10.7
F-11,2023-03-01,163216.24,87.74,17.8
F-11,2023-04-01,191217.11,87.78,24.3
F-11,2023-05-01,214101.97,89.28,29.3
F-11,2023-06-01,220693.49,87.34,31.6
F-11,2023-07-01,211707.71,88.85,29.3
F-11,2023-08-01,191050.41,88.39,25.0
F-11,2023-09-01,161039.81,89.04,17.8
F-11,2023-10-01,134875.42,88.73,11.4
F-11,2023-11-01,112113.68,88.58,5.9
F-11,2023-12-01,106993.66,87.73,4.1
F-11,2024-01-01,113528.38,87.77,5.4
F-11,2024-02-01,135046.63999999998,87.54,10.9
F-11,2024-03-01,160926.91,88.28,18.1
F-11,2024-04-01,189837.44,89.58,24.9
F-11,2024-05-01,210937.33000000002,88.6,30.5
F-11,2024-06-01,219945.0,89.54,31.9
F-11,2024-07-01,210364.97,88.48,29.2
F-11,2024-08-01,189027.15,88.15,24.6
F-11,2024-09-01,163042.02000000002,89.52,18.1
F-11,2024-10-01,134421.51,87.73,10.6
F-11,2024-11-01,113811.99,89.52,5.6
F-11,2024-12-01,105549.97,89.65,4.1
F-12,2022-01-01,96195.5,94.98,5.7
F-12,2022-02-01,112201.66,92.83,10.0
F-12,2022-03-01,136472.18,93.75,17.9
F-12,2022-04-01,159465.41,92.41,25.3
F-12,2022-05-01,178043.79,92.14,30.8
F-12,2022-06-01,185578.86,94.33,32.1
F-12,2022-07-01,176988.99,93.22,29.9
F-12,2022-08-01,161559.24,92.48,24.8
F-12,2022-09-01,136178.32,93.11,18.4
F-12,2022-10-01,113709.16,92.19,11.4
F-12,2022-11-01,96654.87,92.74,5.7
F-12,2022-12-01,90530.32,92.4,4.2
F-12,2023-01-01,95469.17,92.42,5.8
F-12,2023-02-01,113798.31,91.97,10.3
F-12,2023-03-01,138136.62,93.33,17.1
F-12,2023-04-01,162145.04,92.11,25.8
F-12,2023-05-01,180359.1,93.11,30.0
F-12,2023-06-01,189480.15,91.89,31.8
F-12,2023-07-01,180544.59,91.74,30.5
F-12,2023-08-01,163429.06,92.55,25.2
F-12,2023-09-01,137694.89,92.01,17.6
F-12,2023-10-01,113223.53,92.9,10.8
F-12,2023-11-01,95774.34,94.61,6.1
F-12,2023-12-01,90463.66,91.61,3.3
F-12,2024-01-01,96224.58,94.26,5.7
F-12,2024-02-01,113087.56,91.31,10.9
F-12,2024-03-01,136625.69,92.81,17.8
F-12,2024-04-01,162771.88999999998,93.62,25.0
F-12,2024-05-01,180573.32,91.33,29.7
F-12,2024-06-01,186429.59,92.48,31.6
F-12,2024-07-01,178502.04,92.43,29.9
F-12,2024-08-01,162559.87,94.58,25.7
F-12,2024-09-01,139345.27,92.54,18.0
F-12,2024-10-01,114937.04,92.29,10.2
F-12,2024-11-01,95441.17,92.31,5.6
F-12,2024-12-01,91087.67,93.91,5.1
F-13,2022-01-01,123104.91,94.64,6.3
F-13,2022-02-01,144086.18,95.76,10.6
F-13,2022-03-01,172370.67,93.86,17.9
F-13,2022-04-01,208593.69,94.4,24.7
F-13,2022-05-01,230698.07,94.97,30.0
F-13,2022-06-01,240512.9,94.05,32.5
F-13,2022-07-01,231582.43,96.5,29.8
F-13,2022-08-01,205555.18,96.64,25.1
F-13,2022-09-01,175511.4,95.17,18.1
F-13,2022-10-01,145979.47,95.11,11.2
F-13,2022-11-01,123593.41,94.49,6.7
F-13,2022-12-01,114176.44,96.09,3.8
F-13,2023-01-01,122835.89,97.1,5.3
F-13,2023-02-01,145863.0,95.45,11.4
F-13,2023-03-01,176197.5,94.46,17.9
F-13,2023-04-01,208059.79,96.47,24.5
F-13,2023-05-01,229791.12,96.45,29.8
F-13,2023-06-01,236383.25999999998,96.52,32.0
F-13,2023-07-01,230125.64,95.81,29.6
F-13,2023-08-01,207787.35,96.26,24.1
F-13,2023-09-01,178444.65,95.84,17.9
F-13,2023-10-01,143848.51,96.48,11.1
F-13,2023-11-01,121570.35,95.8,5.8
F-13,2023-12-01,114904.91,96.19,4.3
F-13,2024-01-01,123243.66,96.06,6.4
F-13,2024-02-01,144521.27,94.62,11.0
F-13,2024-03-01,176625.1,94.57,17.6
F-13,2024-04-01,206824.95,94.97,24.9
F-13,2024-05-01,229125.97,96.07,29.8
F-13,2024-06-01,236209.97,96.63,31.7
F-13,2024-07-01,229412.91,96.68,30.6
F-13,2024-08-01,206202.36000000002,94.77,24.5
F-13,2024-09-01,175465.03,95.41,17.9
F-13,2024-10-01,145319.74,96.15,11.4
F-13,2024-11-01,122610.3,95.97,5.7
F-13,2024-12-01,112287.24,96.09,3.9
F-14,2022-01-01,115831.58,90.24,5.8
F-14,2022-02-01,135131.35,88.36,10.8
F-14,2022-03-01,163852.61,89.85,17.5
F-14,2022-04-01,193068.35,88.39,25.1
F-14,2022-05-01,212480.09,91.98,30.2
F-14,2022-06-01,221617.59,88.92,32.2
F-14,2022-07-01,213626.11,88.8,30.7
F-14,2022-08-01,191566.59,87.83,25.7
F-14,2022-09-01,166397.55,90.52,18.3
F-14,2022-10-01,135043.99,88.64,11.4
F-14,2022-11-01,114430.18,86.96,5.3
F-14,2022-12-01,106673.09,89.37,3.6
F-14,2023-01-01,113671.01,89.43,6.5
F-14,2023-02-01,136042.71,89.3,11.2
F-14,2023-03-01,163851.69,88.84,17.9
F-14,2023-04-01,193033.13,88.24,25.2
F-14,2023-05-01,214696.68,88.67,30.4
F-14,2023-06-01,223291.62,89.91,31.2
F-14,2023-07-01,214612.55,88.98,29.9
F-14,2023-08-01,192049.16,88.18,25.5
F-14,2023-09-01,163502.49,89.18,18.3
F-14,2023-10-01,135585.2,89.08,11.1
F-14,2023-11-01,114909.70999999999,89.48,6.2
F-14,2023-12-01,107557.1,88.55,4.3
F-14,2024-01-01,114222.84,89.43,6.1
F-14,2024-02-01,135072.11000000002,88.98,11.0
F-14,2024-03-01,164927.95,88.29,18.2
F-14,2024-04-01,191639.45,90.66,24.8
F-14,2024-05-01,215600.29,90.06,30.0
F-14,2024-06-01,223598.84,89.9,31.9
F-14,2024-07-01,215979.31,88.53,30.2
F-14,2024-08-01,193736.32,88.47,25.4
F-14,2024-09-01,164558.77,89.88,17.0
F-14,2024-10-01,135630.52,89.67,10.4
F-14,2024-11-01,114550.89,89.9,5.3
F-14,2024-12-01,107079.43000000001,88.21,4.2
F-15,2022-01-01,113497.81,93.37,6.1
F-15,2022-02-01,133845.53,94.09,11.4
F-15,2022-03-01,162969.13999999998,93.56,18.0
F-15,2022-04-01,191639.01,93.92,24.6
F-15,2022-05-01,211902.52,95.87,30.1
F-15,2022-06-01,220833.94,93.99,31.8
F-15,2022-07-01,211136.57,93.43,29.8
F-15,2022-08-01,190339.87,93.43,24.6
F-15,2022-09-01,162741.12,94.76,17.7
F-15,2022-10-01,134676.09,94.22,11.6
F-15,2022-11-01,113100.81999999999,92.8,5.9
F-15,2022-12-01,105497.83,93.34,3.8
F-15,2023-01-01,113101.58,95.24,5.9
F-15,2023-02-01,134382.86,94.66,11.1
F-15,2023-03-01,161694.82,94.54,17.3
F-15,2023-04-01,192686.73,94.15,24.6
F-15,2023-05-01,211370.82,93.97,30.0
F-15,2023-06-01,221065.34,94.11,32.5
F-15,2023-07-01,213930.75,95.41,29.9
F-15,2023-08-01,193677.37,93.28,24.8
F-15,2023-09-01,161781.85,94.0,16.7
F-15,2023-10-01,133674.16,94.01,10.8
F-15,2023-11-01,113705.15,94.96,6.3
F-15,2023-12-01,104471.24,93.78,3.4
F-15,2024-01-01,113284.82,92.18,5.4
F-15,2024-02-01,132073.81,95.02,11.6
F-15,2024-03-01,164256.18,93.55,18.1
F-15,2024-04-01,192046.29,94.74,25.5
F-15,2024-05-01,211349.6,94.75,29.9
F-15,2024-06-01,221772.48,94.7,31.6
F-15,2024-07-01,212030.5,93.52,29.8
F-15,2024-08-01,190408.1,94.69,25.3
F-15,2024-09-01,163035.82,93.25,18.1
F-15,2024-10-01,133861.53,93.83,11.3
F-15,2024-11-01,113846.11,93.91,5.6
F-15,2024-12-01,106146.05,93.86,3.6
F-16,2022-01-01,114701.19,96.08,5.2
F-16,2022-02-01,137638.35,95.58,11.4
F-16,2022-03-01,166082.36,95.71,18.3
F-16,2022-04-01,196535.62,95.49,24.6
F-16,2022-05-01,218500.85,95.35,30.2
F-16,2022-06-01,225316.06,95.27,31.4
F-16,2022-07-01,217353.97999999998,94.25,29.7
F-16,2022-08-01,195465.9,95.48,25.3
F-16,2022-09-01,166454.88,94.89,18.2
F-16,2022-10-01,137839.11000000002,96.0,10.8
F-16,2022-11-01,115878.06,97.11,6.4
F-16,2022-12-01,109176.07,94.88,3.9
F-16,2023-01-01,116549.11,95.55,6.4
F-16,2023-02-01,138829.83,97.23,10.4
F-16,2023-03-01,166878.97,94.39,17.4
F-16,2023-04-01,196712.93,93.48,24.5
F-16,2023-05-01,216500.8,95.61,30.5
F-16,2023-06-01,223847.5,96.62,31.7
F-16,2023-07-01,216280.5,95.62,30.3
F-16,2023-08-01,193672.94,95.45,24.8
F-16,2023-09-01,164598.24,96.27,17.8
F-16,2023-10-01,138531.91,96.9,10.8
F-16,2023-11-01,116373.77,95.65,6.8
F-16,2023-12-01,107599.18000000001,95.82,4.1
F-16,2024-01-01,115793.73000000001,95.45,5.7
F-16,2024-02-01,137197.28,95.51,10.7
F-16,2024-03-01,165868.07,95.87,17.7
F-16,2024-04-01,196142.13999999998,95.55,25.2
F-16,2024-05-01,217517.95,96.53,30.7
F-16,2024-06-01,225826.39,95.54,31.4
F-16,2024-07-01,217840.65,95.34,29.7
F-16,2024-08-01,197308.69,96.89,24.8
F-16,2024-09-01,165613.0,97.21,18.0
F-16,2024-10-01,136544.49,95.03,11.1
